full_text,clean,Label
@bangherwin @KangManto123 Pak Prabowo....akibat kelalaian dan miss management jgn cuma jadi angka statistik. Mitigasi dan evaluasi kembali dong pak. Kalo perlu dihentikan sementara dan audit BGN dan program MBG.,prabowo akibat lalai miss management jgn angka statistik mitigasi evaluasi kalo henti audit bgn program mbg,Negatif
MBG ini emang meresahkan deh tadi malem denger ponakan cerita sm mama blg pung kemarin makanannya basi ,mbg emang resah deh malem denger ponakan cerita sm mama blg pung kemarin makan basi,Negatif
@jackcfrost uang habis gegara MBG,uang habis gegara mbg,Negatif
Gini aja deh..gimana kalau rangorang pejabat itu yg komentar semacam2 ini ikutan makan MBG dengan menu yang sama dng yg dibagikan ke sekolah2..jd klo misalnya nanti ada masalah kek keracunan gitu bareng2 ikutan kena jg..nggak cm komen ini itu doang..,gin aja deh gimana rangorang jabat yg komentar ikut makan mbg menu dng yg bagi sekolah jd klo kek racun gitu bareng ikut kena jg nggak cm komen doang,Negatif
Ada kasus MBG keracunan dg 11 korban jiwa. harus di otopsi. ini keracunan makanan atau pembunuhan dg merusak program MBG. Cari siapa dalangnya.,mbg racun dg korban jiwa otopsi racun makan bunuh dg rusak program mbg cari dalang,Negatif
@AnggiCartwheel bingung dah asli sbnrnya prioritas mbg tuh siapa? yg diduluin yg di kota sekolah2 bagus yg dmna isinya anak2 yg ortunya mampu. yg di pelosok di kampung yg siswanya bnyak dri keluarga miskin smpe miskin bgt smpe skrg blm kebagian mbg,bingung dah asli sbnrnya prioritas mbg tuh yg diduluin yg kota sekolah bagus yg dmna isi anak yg ortunya yg pelosok kampung yg siswa bnyak dri keluarga miskin smpe miskin bgt smpe skrg blm bagi mbg,Negatif
Udah gw bilang dari awal proyek MBG cuan cuan cuan. Banyak duit gurih disana buat para pemangku kepentingan ,udah gw bilang proyek mbg cuan cuan cuan duit gurih sana mang penting,Positif
Selamat pagi mari membahas MBG!! Program penghinaan dari pemerintah itu sekarang update-nya mau meningkatkan perlengkapan keamanan dari alat rapid tes alat strerilisasi CCTV dll. YANG MANA tentunya akan mengeluarkan uang LEBIH BANYAK. Yaaaa! Pertanyaannya pake duit siapa?,selamat pagi mari bahas mbg program hina perintah update nya tingkat lengkap aman alat rapid tes alat strerilisasi cctv dll keluar uang yaaaa tanya pake duit,Positif
MBG tadika mesra https://t.co/KGaYIRX2wu,mbg tadika mesra,Positif
@BiLLRaY2019 Kayaknya masih banyak yg kurang tau sasaran MBG ya?. Kan udah jelas itu untuk semua anak dari TK - SMA. Dan nantinya akan menyasar ke ibu hamil juga. Jadi bukan untuk yang kurang mampu.,kayak yg tau sasar mbg ya udah anak tk sma sasar hamil,Negatif
@Atchin_Ceumpala @Bintu__Baba @MariaAlkaff_ Kemarin maling diproyek bansos skr bernama MBG gilaa bener negeri ini maling aja di rencanain dg matang dimufakatkan bersama-sama dan semua merasa legal....,kemarin maling proyek bansos skr nama mbg gilaa bener negeri maling aja rencanain dg matang mufakat legal,Positif
@Metro_TV Seharusnya yang disediakan makan para pejabat dengan anggaran / porsinya 15000 buat 1 orang pejabat Jadi setiap kantor² bisa dibangun dapur² MBG,sedia makan jabat anggar porsi orang jabat kantor bangun dapur mbg,Positif
@SueSunSeven @wafirh Its not even klarifikasi ya anjing dia aja di pidato ini masih aja membanggakan MBG. Belain aja tuh Prabowo kontol sampe anak Lo sendiri yg keracunan karna MBG asu,its not even klarifikasi ya anjing aja pidato aja bangga mbg bain aja tuh prabowo kontol sampe anak lo yg racun karna mbg asu,Positif
@kompascom Wajar kalo pihak sekolah dan org tua siswa menolak di ganti MBG krn program dari sekolah ini justru patut di contoh untuk di terapkan di seluruh sekolah di Indonesia,wajar kalo sekolah org tua siswa tolak ganti mbg krn program sekolah patut contoh terap sekolah indonesia,Positif
