conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.97315E+18,Tue Sep 30 23:51:00 +0000 2025,2,@bangherwin @KangManto123 Pak Prabowo....akibat kelalaian dan miss management jgn cuma jadi angka statistik. Mitigasi dan evaluasi kembali dong pak. Kalo perlu dihentikan sementara dan audit BGN dan program MBG.,1.97317E+18,,bangherwin,in,,0,0,0,https://x.com/undefined/status/1973173767594713480,2331235970,
1.97317E+18,Tue Sep 30 23:50:42 +0000 2025,0,MBG ini emang meresahkan deh tadi malem denger ponakan cerita sm mama blg pung kemarin makanannya basi ,1.97317E+18,,,in,,0,0,0,https://x.com/undefined/status/1973173692139184307,1266649376,
1.97213E+18,Tue Sep 30 23:50:37 +0000 2025,0,@DS_yantie dapat MBG?,1.97317E+18,,DS_yantie,in,,0,0,0,https://x.com/undefined/status/1973173670865674584,1.84462E+18,
1.973E+18,Tue Sep 30 23:50:31 +0000 2025,0,@somexthread Ya bener lah kata ibunya ya gausah anak mereka yg mampu dikasi mbg mending noh liat disekolah2 kecil pelosok disini aja sekolah sd belom dapet mbg.,1.97317E+18,,somexthread,in,,0,0,0,https://x.com/undefined/status/1973173645246865890,1.10449E+18,
1.97299E+18,Tue Sep 30 23:50:27 +0000 2025,1,@qrivasi Peristiwa G30S MBG ,1.97317E+18,,qrivasi,in,,0,0,0,https://x.com/undefined/status/1973173629765771567,1.25686E+18,
1.97289E+18,Tue Sep 30 23:50:20 +0000 2025,0,@jackcfrost uang habis gegara MBG,1.97317E+18,,jackcfrost,in,,0,0,0,https://x.com/undefined/status/1973173599298367753,2351576791,
1.97317E+18,Tue Sep 30 23:50:08 +0000 2025,0,Gini aja deh..gimana kalau rangorang pejabat itu yg komentar semacam2 ini ikutan makan MBG dengan menu yang sama dng yg dibagikan ke sekolah2..jd klo misalnya nanti ada masalah kek keracunan gitu bareng2 ikutan kena jg..nggak cm komen ini itu doang..,1.97317E+18,,,in,,0,0,1,https://x.com/undefined/status/1973173547469328539,71185953,
1.97317E+18,Tue Sep 30 23:49:59 +0000 2025,2,Ada kasus MBG keracunan dg 11 korban jiwa. harus di otopsi. ini keracunan makanan atau pembunuhan dg merusak program MBG. Cari siapa dalangnya.,1.97317E+18,,,in,,1,1,1,https://x.com/undefined/status/1973173510706176400,1.10542E+18,
1.97292E+18,Tue Sep 30 23:49:57 +0000 2025,0,@AnggiCartwheel bingung dah asli sbnrnya prioritas mbg tuh siapa? yg diduluin yg di kota sekolah2 bagus yg dmna isinya anak2 yg ortunya mampu. yg di pelosok di kampung yg siswanya bnyak dri keluarga miskin smpe miskin bgt smpe skrg blm kebagian mbg,1.97317E+18,,AnggiCartwheel,in,,0,1,0,https://x.com/undefined/status/1973173504553136154,1093961130,
1.97317E+18,Tue Sep 30 23:49:02 +0000 2025,0,Udah gw bilang dari awal proyek MBG cuan cuan cuan. Banyak duit gurih disana buat para pemangku kepentingan ,1.97317E+18,,,in,,0,0,0,https://x.com/undefined/status/1973173272964686029,1.59427E+18,
1.97317E+18,Tue Sep 30 23:48:47 +0000 2025,1,Selamat pagi mari membahas MBG!! Program penghinaan dari pemerintah itu sekarang update-nya mau meningkatkan perlengkapan keamanan dari alat rapid tes alat strerilisasi CCTV dll. YANG MANA tentunya akan mengeluarkan uang LEBIH BANYAK. Yaaaa! Pertanyaannya pake duit siapa?,1.97317E+18,,,in,,0,0,0,https://x.com/undefined/status/1973173207722324374,1.47041E+18,
1.97317E+18,Tue Sep 30 23:47:23 +0000 2025,0,Heboh! Wartawan Ngaku Dicekik Oknum Keamanan Dapur MBG di Jaktim #News #MBG #wartawan #oknum https://t.co/r6y7i5HDfC,1.97317E+18,,,in,,0,0,0,https://x.com/undefined/status/1973172857783112165,1.68613E+18,
1.97317E+18,Tue Sep 30 23:46:35 +0000 2025,0,MBG tadika mesra https://t.co/KGaYIRX2wu,1.97317E+18,https://pbs.twimg.com/media/G2IeD6aa0AA2sX3.jpg,,in,,0,0,0,https://x.com/undefined/status/1973172655495971259,317583956,
1.97265E+18,Tue Sep 30 23:46:33 +0000 2025,0,@BiLLRaY2019 Kayaknya masih banyak yg kurang tau sasaran MBG ya?. Kan udah jelas itu untuk semua anak dari TK - SMA. Dan nantinya akan menyasar ke ibu hamil juga. Jadi bukan untuk yang kurang mampu.,1.97317E+18,,BiLLRaY2019,in,,0,0,0,https://x.com/undefined/status/1973172649087082807,1.23215E+18,
